time,value
00:00:00,43
00:01:00,44
00:02:00,43
00:03:00,46
00:04:00,44
00:05:00,44
00:06:00,43
00:07:00,43
00:08:00,42
00:09:00,43
00:10:00,42
00:11:00,42
00:12:00,41
00:13:00,41
00:14:00,41
00:15:00,41
00:16:00,41
00:17:00,41
00:18:00,41
00:19:00,41
00:20:00,40
00:21:00,41
00:22:00,41
00:23:00,40
00:24:00,42
00:25:00,40
00:26:00,46
00:27:00,45
00:28:00,42
00:29:00,42
00:30:00,41
00:31:00,42
00:32:00,42
00:33:00,43
00:34:00,42
00:35:00,42
00:36:00,42
00:37:00,42
00:38:00,42
00:39:00,43
00:40:00,43
00:41:00,43
00:42:00,42
00:43:00,43
00:44:00,42
00:45:00,43
00:46:00,44
00:47:00,41
00:48:00,44
00:49:00,42
00:50:00,41
00:51:00,41
00:52:00,45
00:53:00,46
00:54:00,46
00:55:00,46
00:56:00,43
00:57:00,42
00:58:00,42
00:59:00,41
01:00:00,41
01:01:00,43
01:02:00,44
01:03:00,45
01:04:00,45
01:05:00,41
01:06:00,41
01:07:00,44
01:08:00,43
01:09:00,44
01:10:00,43
01:11:00,42
01:12:00,42
01:13:00,43
01:14:00,42
01:15:00,43
01:16:00,41
01:17:00,42
01:18:00,43
01:19:00,43
01:20:00,43
01:21:00,42
01:22:00,42
01:23:00,43
01:24:00,43
01:25:00,42
01:26:00,42
01:27:00,42
01:28:00,42
01:29:00,41
01:30:00,42
01:31:00,41
01:32:00,44
01:33:00,42
01:34:00,42
01:35:00,42
01:36:00,42
01:37:00,42
01:38:00,42
01:39:00,42
01:40:00,42
01:41:00,42
01:42:00,42
01:43:00,41
01:44:00,43
01:45:00,41
01:46:00,43
01:47:00,41
01:48:00,42
01:49:00,42
01:50:00,42
01:51:00,42
01:52:00,41
01:53:00,41
01:54:00,41
01:55:00,41
01:56:00,42
01:57:00,41
01:58:00,42
01:59:00,41
02:00:00,41
02:01:00,41
02:02:00,40
02:03:00,41
02:04:00,42
02:05:00,41
02:06:00,41
02:07:00,40
02:08:00,41
02:09:00,42
02:10:00,41
02:11:00,42
02:12:00,44
02:13:00,42
02:14:00,42
02:15:00,43
02:16:00,43
02:17:00,51
02:18:00,43
02:19:00,43
02:20:00,42
02:21:00,44
02:22:00,43
02:23:00,43
02:24:00,42
02:25:00,43
02:26:00,42
02:27:00,43
02:28:00,43
02:29:00,44
02:30:00,42
02:31:00,43
02:32:00,43
02:33:00,43
02:34:00,43
02:35:00,41
02:36:00,43
02:37:00,43
02:38:00,44
02:39:00,44
02:40:00,43
02:41:00,43
02:42:00,43
02:43:00,42
02:44:00,42
02:45:00,42
02:46:00,43
02:47:00,44
02:48:00,45
02:49:00,45
02:50:00,45
02:51:00,44
02:52:00,44
02:53:00,44
02:54:00,43
02:55:00,45
02:56:00,42
02:57:00,43
02:58:00,43
02:59:00,43
03:00:00,42
03:01:00,43
03:02:00,43
03:03:00,42
03:04:00,43
03:05:00,45
03:06:00,43
03:07:00,44
03:08:00,44
03:09:00,43
03:10:00,41
03:11:00,43
03:12:00,42
03:13:00,44
03:14:00,43
03:15:00,43
03:16:00,42
03:17:00,42
03:18:00,42
